res_0_1.png: min=-0.16403658688068 max=0.20269748568535
res_0_2.png: min=-0.20861437916756 max=13.984686851501
res_0_3.png: min=-0.40653067827225 max=15.776818275452
res_0_4.png: min=-0.26869276165962 max=14.214233398438
res_0_5.png: min=-0.22380438446999 max=14.795517921448
res_0_6.png: min=-0.47357732057571 max=0.03885293379426
res_0_7.png: min=-0.20060469210148 max=0.13783577084541
res_0_8.png: min=-93.89013671875 max=0.41326263546944
res_0_9.png: min=-3.356703042984 max=52.40697479248
res_1_1.png: min=-0.30457520484924 max=0.18339155614376
res_1_2.png: min=0.47468316555023 max=22.73943901062
res_1_3.png: min=0.26055964827538 max=25.66979598999
res_1_4.png: min=0.43635892868042 max=23.069511413574
res_1_5.png: min=0.39743110537529 max=24.097311019897
res_1_6.png: min=-0.80903732776642 max=-0.050746560096741
res_1_7.png: min=-0.24772579967976 max=0.09689512103796
res_1_8.png: min=-67.94075012207 max=-2.2014918327332
res_1_9.png: min=-4.3408174514771 max=83.514938354492
