res_0_1.png: min=0.042122699320316 max=0.37098118662834
res_0_2.png: min=-0.81818062067032 max=15.594882011414
res_0_3.png: min=-0.80840289592743 max=17.155223846436
res_0_4.png: min=-0.71142154932022 max=17.329908370972
res_0_5.png: min=-0.79123383760452 max=16.255504608154
res_0_6.png: min=-0.12129404395819 max=0.23665168881416
res_0_7.png: min=-0.68473672866821 max=0.064948953688145
res_0_8.png: min=-70.574119567871 max=-5.1574583053589
res_0_9.png: min=-2.7313520908356 max=49.389495849609
res_1_1.png: min=0.056648395955563 max=0.26711335778236
res_1_2.png: min=-0.48195412755013 max=25.038179397583
res_1_3.png: min=-0.38886284828186 max=27.717636108398
res_1_4.png: min=-0.2858424782753 max=27.946025848389
res_1_5.png: min=-0.353858679533 max=26.247486114502
res_1_6.png: min=-0.078996047377586 max=0.13614940643311
res_1_7.png: min=-0.46368959546089 max=0.11842582374811
res_1_8.png: min=-49.640331268311 max=-7.9975695610046
res_1_9.png: min=-3.1705715656281 max=78.268363952637
